symbol,isin
NSLNISP,INE0NNS01018
NTPCGREEN,INE0ONG01011
NTPC,INE733E01010
NH,INE410P01011
NATIONALUM,INE139A01034
NAVA,INE725A01030
NAVINFLUOR,INE048G01026
NESTLEIND,INE239A01024
NETWEB,INE0NT901020
NETWORK18,INE870H01013
NEULANDLAB,INE794A01010
NEWGEN,INE619B01017
NAM-INDIA,INE298J01013
NIVABUPA,INE995S01015
NUVAMA,INE531F01015
OBEROIRLTY,INE093I01010
ONGC,INE213A01029
OIL,INE274J01014
OLAELEC,INE0LXG01040
OLECTRA,INE260D01016
PAYTM,INE982J01020
OFSS,INE881D01027
POLICYBZR,INE417T01026
PCBL,INE602A01031
PGEL,INE457L01029
PIIND,INE603J01030
PNBHOUSING,INE572E01012
PNCINFRA,INE195J01029
PTCIL,INE596F01018
PVRINOX,INE191H01014
PAGEIND,INE761H01022
PATANJALI,INE619A01035
PERSISTENT,INE262H01021
PETRONET,INE347G01014
PFIZER,INE182A01018
PHOENIXLTD,INE211B01039
PIDILITIND,INE318A01026
PEL,INE140A01024
PPLPHARMA,INE0DK501011
POLYMED,INE205C01021
POLYCAB,INE455K01017
POONAWALLA,INE511C01022
PFC,INE134E01011
POWERGRID,INE752E01010
PRAJIND,INE074A01025
PREMIERENE,INE0BS701011
PRESTIGE,INE811K01011
PNB,INE160A01022
RRKABEL,INE777K01022
RBLBANK,INE976G01028
RECLTD,INE020B01018
RHIM,INE743M01012
RITES,INE320J01015
RADICO,INE944F01028
RVNL,INE415G01027
RAILTEL,INE0DD101019
RAINBOW,INE961O01016
RKFORGE,INE399G01023
RCF,INE027A01015
RTNINDIA,INE834M01019
RAYMONDLSL,INE02ID01020
RAYMOND,INE301A01014
REDINGTON,INE891D01026
RELIANCE,INE002A01018
RPOWER,INE614G01033
ROUTE,INE450U01017
SBFC,INE423Y01016
SBICARD,INE018E01016
SBILIFE,INE123W01016
SJVN,INE002L01015
SKFINDIA,INE640A01023
SRF,INE647A01010
SAGILITY,INE0W2G01015
SAILIFE,INE570L01029
SAMMAANCAP,INE148I01020
MOTHERSON,INE775A01035
SAPPHIRE,INE806T01020
SARDAEN,INE385C01021
SAREGAMA,INE979A01025
SCHAEFFLER,INE513A01022
SCHNEIDER,INE839M01018
SCI,INE109A01011
SHREECEM,INE070A01015
RENUKA,INE087H01022
SHRIRAMFIN,INE721A01047
SHYAMMETL,INE810G01011
SIEMENS,INE003A01024
SIGNATURE,INE903U01023
SOBHA,INE671H01015
SOLARINDS,INE343H01029
SONACOMS,INE073K01018
SONATSOFTW,INE269A01021
STARHEALTH,INE575P01011
SBIN,INE062A01020
SAIL,INE114A01011
SWSOLAR,INE00M201021
SUMICHEM,INE258G01013
SUNPHARMA,INE044A01036
SUNTV,INE424H01027
SUNDARMFIN,INE660A01013
SUNDRMFAST,INE387A01021
SUPREMEIND,INE195A01028
SUVENPHAR,INE03QK01018
SUZLON,INE040H01021
SWANENERGY,INE665A01038
SWIGGY,INE00H001014
SYNGENE,INE398R01022
SYRMA,INE0DYJ01015
TBOTEK,INE673O01025
TVSMOTOR,INE494B01023
TANLA,INE483C01032
TATACHEM,INE092A01019
TATACOMM,INE151A01013
TCS,INE467B01029
TATACONSUM,INE192A01025
TATAELXSI,INE670A01012
TATAINVEST,INE672A01018
TATAMOTORS,INE155A01022
TATAPOWER,INE245A01021
TATASTEEL,INE081A01020
TATATECH,INE142M01025
TTML,INE517B01013
TECHM,INE669C01036
TECHNOE,INE285K01026
TEJASNET,INE010J01012
NIACL,INE470Y01017
RAMCOCEM,INE331A01037
THERMAX,INE152A01029
TIMKEN,INE325A01013
TITAGARH,INE615H01020
TITAN,INE280A01028
TORNTPHARM,INE685A01028
TORNTPOWER,INE813H01021
TARIL,INE763I01026
TRENT,INE849A01020
TRIDENT,INE064C01022
TRIVENI,INE256C01024
TRITURBINE,INE152M01016
TIINDIA,INE974X01010
UCOBANK,INE691A01018
UNOMINDA,INE405E01023
UPL,INE628A01036
UTIAMC,INE094J01016
ULTRACEMCO,INE481G01011
UNIONBANK,INE692A01016
UBL,INE686F01025
UNITDSPR,INE854D01024
USHAMART,INE228A01035
VGUARD,INE951I01027
DBREALTY,INE879I01012
VTL,INE825A01020
VBL,INE200M01039
MANYAVAR,INE825V01034
VEDL,INE205A01025
VIJAYA,INE043W01024
VMM,INE01EA01019
IDEA,INE669E01016
VOLTAS,INE226A01021
WAAREEENER,INE377N01017
WELCORP,INE191B01025
WELSPUNLIV,INE192B01031
WESTLIFE,INE274F01020
WHIRLPOOL,INE716A01013
WIPRO,INE075A01022
WOCKPHARMA,INE049B01025
YESBANK,INE528G01035
ZFCVINDIA,INE342J01019
ZEEL,INE256A01028
ZENTEC,INE251B01027
ZENSARTECH,INE520A01027
ZYDUSLIFE,INE010B01027
ECLERX,INE738I01010
